isin,s_date,close,p_price,r_price,p_rate,r_rate,predict,correct,error
003300,2023-07-07,11840,11831,11660.0,-0.08,-1.52,0,1,1.47
003350,2023-07-07,26300,26298,26300.0,-0.01,0.0,0,1,0.01
003410,2023-07-07,4815,4819,4900.0,0.08,1.77,0,0,1.65
003460,2023-07-07,2410,2414,2410.0,0.17,0.0,0,1,0.17
003465,2023-07-07,2520,2530,2520.0,0.4,0.0,0,1,0.4
003470,2023-07-07,2670,2679,2655.0,0.34,-0.56,0,1,0.9
003475,2023-07-07,2635,2630,2580.0,-0.19,-2.09,0,1,1.94
003480,2023-07-07,3750,3766,3700.0,0.43,-1.33,0,1,1.78
003490,2023-07-07,25050,25043,25250.0,-0.03,0.8,0,0,0.82
003495,2023-07-07,28600,28596,28400.0,-0.01,-0.7,0,1,0.69
003520,2023-07-07,2315,2312,2315.0,-0.13,0.0,0,1,0.13
003530,2023-07-07,2565,2564,2535.0,-0.04,-1.17,0,1,1.14
003535,2023-07-07,4700,4686,4635.0,-0.3,-1.38,0,1,1.1
003540,2023-07-07,13190,13186,13220.0,-0.03,0.23,0,0,0.26
003545,2023-07-07,12960,12970,12970.0,0.08,0.08,0,0,0.0
003547,2023-07-07,12310,12319,12350.0,0.07,0.32,0,0,0.25
003550,2023-07-07,82800,82783,84800.0,-0.02,2.42,0,0,2.38
003555,2023-07-07,64700,64672,65200.0,-0.04,0.77,0,0,0.81
003560,2023-07-07,239,260,239.0,8.79,0.0,0,1,8.79
003570,2023-07-07,10040,10056,10200.0,0.16,1.59,0,0,1.41
003580,2023-07-07,4590,4586,4480.0,-0.09,-2.4,0,1,2.37
003610,2023-07-07,2465,2485,2575.0,0.81,4.46,0,0,3.5
003620,2023-07-07,7970,7968,8800.0,-0.03,10.41,0,0,9.45
003650,2023-07-07,66800,66749,66600.0,-0.08,-0.3,0,1,0.22
003670,2023-07-07,398500,398288,408000.0,-0.05,2.38,0,0,2.38
003680,2023-07-07,5520,5518,5570.0,-0.04,0.91,0,0,0.93
003690,2023-07-07,6670,6671,6810.0,0.01,2.1,0,0,2.04
003720,2023-07-07,4250,4261,4175.0,0.26,-1.76,0,1,2.06
003780,2023-07-07,6250,6263,6330.0,0.21,1.28,0,0,1.06
003830,2023-07-07,105700,105673,105400.0,-0.03,-0.28,0,1,0.26
003850,2023-07-07,7680,7686,7710.0,0.08,0.39,0,0,0.31
003920,2023-07-07,507000,506778,502000.0,-0.04,-0.99,0,1,0.95
003925,2023-07-07,275000,274908,270500.0,-0.03,-1.64,0,1,1.63
003960,2023-07-07,24700,24690,25250.0,-0.04,2.23,0,0,2.22
004000,2023-07-07,66200,66149,65300.0,-0.08,-1.36,0,1,1.3
004020,2023-07-07,32950,32925,33700.0,-0.08,2.28,0,0,2.3
004060,2023-07-07,516,527,520.0,2.13,0.78,0,0,1.35
004080,2023-07-07,14240,14245,14240.0,0.04,0.0,0,1,0.04
004090,2023-07-07,10100,10104,10170.0,0.04,0.69,0,0,0.65
004100,2023-07-07,1713,1730,1742.0,0.99,1.69,0,0,0.69
004105,2023-07-07,2905,2922,2920.0,0.59,0.52,0,0,0.07
004140,2023-07-07,2135,2138,2160.0,0.14,1.17,0,0,1.02
004150,2023-07-07,3090,3090,3090.0,0.0,0.0,0,1,0.0
004170,2023-07-07,181000,180941,185600.0,-0.03,2.54,0,0,2.51
004250,2023-07-07,6550,6568,6520.0,0.27,-0.46,0,1,0.74
004255,2023-07-07,3100,3118,3065.0,0.58,-1.13,0,1,1.73
004270,2023-07-07,2230,2243,2285.0,0.58,2.47,0,0,1.84
004310,2023-07-07,3790,3784,3810.0,-0.16,0.53,0,0,0.68
004360,2023-07-07,11830,11832,11760.0,0.02,-0.59,0,1,0.61
004365,2023-07-07,7270,7275,7270.0,0.07,0.0,0,1,0.07
004370,2023-07-07,410000,409795,404000.0,-0.05,-1.46,0,1,1.43
004380,2023-07-07,12630,12632,12530.0,0.02,-0.79,0,1,0.81
004410,2023-07-07,203,209,206.0,2.96,1.48,0,0,1.46
004415,2023-07-07,2250,2260,2250.0,0.44,0.0,0,1,0.44
004430,2023-07-07,17810,17805,17980.0,-0.03,0.95,0,0,0.97
004440,2023-07-07,5300,5312,5160.0,0.23,-2.64,0,1,2.95
004450,2023-07-07,38550,38575,38300.0,0.06,-0.65,0,1,0.72
004490,2023-07-07,48600,48578,47950.0,-0.05,-1.34,0,1,1.31
004540,2023-07-07,2475,2494,2460.0,0.77,-0.61,0,1,1.38
004545,2023-07-07,14980,14981,14790.0,0.01,-1.27,0,1,1.29
004560,2023-07-07,14950,14928,14820.0,-0.15,-0.87,0,1,0.73
004565,2023-07-07,13600,13746,9760.0,1.07,-28.24,0,1,40.84
004690,2023-07-07,105800,105737,105300.0,-0.06,-0.47,0,1,0.42
004700,2023-07-07,49000,48969,49000.0,-0.06,0.0,0,1,0.06
004710,2023-07-07,7810,7812,7670.0,0.03,-1.79,0,1,1.85
004720,2023-07-07,5620,5620,5520.0,0.0,-1.78,0,1,1.81
004770,2023-07-07,2275,2282,2300.0,0.31,1.1,0,0,0.78
004800,2023-07-07,57000,56901,57800.0,-0.17,1.4,0,0,1.56
004830,2023-07-07,4260,4268,4220.0,0.19,-0.94,0,1,1.14
004835,2023-07-07,5190,5203,5250.0,0.25,1.16,0,0,0.9
004840,2023-07-07,5400,5417,5450.0,0.31,0.93,0,0,0.61
004870,2023-07-07,619,626,607.0,1.13,-1.94,0,1,3.13
004890,2023-07-07,61600,61592,61500.0,-0.01,-0.16,0,1,0.15
004910,2023-07-07,6650,6646,6750.0,-0.06,1.5,0,0,1.54
004920,2023-07-07,2880,2834,2755.0,-1.6,-4.34,0,1,2.87
004960,2023-07-07,7800,7782,8100.0,-0.23,3.85,0,0,3.93
004970,2023-07-07,9700,9704,9700.0,0.04,0.0,0,1,0.04
004980,2023-07-07,8500,8505,8550.0,0.06,0.59,0,0,0.53
004985,2023-07-07,12700,12706,12580.0,0.05,-0.94,0,1,1.0
004990,2023-07-07,24800,24797,24750.0,-0.01,-0.2,0,1,0.19
00499K,2023-07-07,37300,37298,37000.0,-0.01,-0.8,0,1,0.81
005010,2023-07-07,6020,6009,6050.0,-0.18,0.5,0,0,0.68
005030,2023-07-07,486,498,486.0,2.47,0.0,0,1,2.47
005070,2023-07-07,200000,199930,195300.0,-0.03,-2.35,0,1,2.37
005090,2023-07-07,23950,23955,24300.0,0.02,1.46,0,0,1.42
005110,2023-07-07,443,290,452.0,-34.54,2.03,0,0,35.84
005180,2023-07-07,44500,44457,43700.0,-0.1,-1.8,0,1,1.73
005250,2023-07-07,13370,13347,13260.0,-0.17,-0.82,0,1,0.66
005257,2023-07-07,29550,29550,28850.0,0.0,-2.37,0,1,2.43
005300,2023-07-07,121700,121608,121400.0,-0.08,-0.25,0,1,0.17
005305,2023-07-07,61500,61441,62000.0,-0.1,0.81,0,0,0.9
005320,2023-07-07,1043,1059,1039.0,1.53,-0.38,0,1,1.92
005360,2023-07-07,3460,3462,3440.0,0.06,-0.58,0,1,0.64
005380,2023-07-07,204000,203870,205500.0,-0.06,0.74,0,0,0.79
005385,2023-07-07,108100,108032,109700.0,-0.06,1.48,0,0,1.52
005387,2023-07-07,109800,109699,111600.0,-0.09,1.64,0,0,1.7
005389,2023-07-07,106600,106519,108100.0,-0.08,1.41,0,0,1.46
005390,2023-07-07,2020,2033,2000.0,0.64,-0.99,0,1,1.65
005420,2023-07-07,56400,56405,52700.0,0.01,-6.56,0,1,7.03
005430,2023-07-07,38350,38342,38550.0,-0.02,0.52,0,0,0.54
005440,2023-07-07,3555,3555,3545.0,0.0,-0.28,0,1,0.28
005490,2023-07-07,400000,399892,397000.0,-0.03,-0.75,0,1,0.73
005500,2023-07-07,21650,21651,22200.0,0.0,2.54,0,0,2.47
005610,2023-07-07,66800,66766,67200.0,-0.05,0.6,0,0,0.65
005680,2023-07-07,9400,9403,9290.0,0.03,-1.17,0,1,1.22
005690,2023-07-07,6900,6875,7000.0,-0.36,1.45,0,0,1.79
005720,2023-07-07,4385,4400,4425.0,0.34,0.91,0,0,0.56
005725,2023-07-07,3080,3086,3135.0,0.19,1.79,0,0,1.56
005740,2023-07-07,6040,6044,6000.0,0.07,-0.66,0,1,0.73
005745,2023-07-07,10180,10175,10350.0,-0.05,1.67,0,0,1.69
005750,2023-07-07,3765,3784,3770.0,0.5,0.13,0,0,0.37
005800,2023-07-07,10300,10302,10180.0,0.02,-1.17,0,1,1.2
005810,2023-07-07,35650,35626,37100.0,-0.07,4.07,0,0,3.97
005820,2023-07-07,21750,21743,21850.0,-0.03,0.46,0,0,0.49
005830,2023-07-07,72200,72205,75900.0,0.01,5.12,0,0,4.87
005850,2023-07-07,40600,40559,39500.0,-0.1,-2.71,0,1,2.68
005870,2023-07-07,5790,5788,5880.0,-0.03,1.55,0,0,1.56
005880,2023-07-07,1960,1969,1904.0,0.46,-2.86,0,1,3.41
005930,2023-07-07,69900,69992,69500.0,0.13,-0.57,1,0,0.71
005935,2023-07-07,58300,58274,57700.0,-0.04,-1.03,0,1,0.99
005940,2023-07-07,9320,9323,9440.0,0.03,1.29,0,0,1.24
